epoch,train_loss,eval_loss_mean,auc_roc,auc_pr,eer,eer_th,fpr_at_target_fnr,threshold_at_target_fnr,lr
47,0.0025946462992578745,0.18198858201503754,0.5746065566130873,0.6078194351619205,0.4652874772006507,0.09993277685151618,0.7490346221470003,0.011919734915265512,5e-05
48,0.002556559629738331,0.17775879800319672,0.5742330817457449,0.6075285675604686,0.46582973199467603,0.09559822569124353,0.7489195984028132,0.01115150452176443,5.15625e-05
49,0.0025256609078496695,0.19249753654003143,0.5744045890309175,0.6081912801700474,0.4628062507188984,0.09839140221514128,0.754473602050709,0.010842975739553052,5.312500000000001e-05
final_best,,0.06405453383922577,0.6808443000053743,0.7295405358886553,0.3686018042295874,0.0644547895546187,0.7164336066516588,0.01703887441206586,

python main.py \
  --dataset corridor \
  --branch SPARTA_F \
  --pose_path_train /home/waleed64/Documents/Human_Centric_Anomaly_Detection_Agent/Preprocessedd-data/compatible-train-for-checking \
  --pose_path_test /home/waleed64/Documents/Human_Centric_Anomaly_Detection_Agent/Preprocessedd-data/compatible-test-for-checking \
  --mask_root /home/waleed64/Documents/Human_Centric_Anomaly_Detection_Agent/Preprocessedd-data/flat_labels \
  --vid_path_train . \
  --vid_path_test . \
  --model_save_dir ./results-sparta-new_f \
  --save_results \
  --save_results_dir ./evaluation_results_new_f \
  --relative \
  --traj \
  --seg_len 32 \
  --batch_size 256 \
  --epochs 50 \
  --eval_interval 1 \
  --model_lr 7.5e-5 \
  --dropout 0.4 \
  --sched cosine_warmup
